100,LOUISE,64212,158s,2025-05-21
808270101,PLAYERR,2225,7s,2025-05-21
808270101,PLAYERR,3331,26s,2025-05-21
100,LOUISE,15221,17s,2025-05-21
100,LOUISE,28712,38s,2025-05-21
100,LOUISE,15245,15s,2025-05-21
100,LOUISE,36993,50s,2025-05-21
100,LOUISE,15167,23s,2025-05-21
100,LOUISE,15231,16s,2025-05-21
100,LOUISE,14833,46s,2025-05-21
100,LOUISE,15106,29s,2025-05-21
100,LOUISE,15138,16s,2025-05-22
100,LOUISE,81997,40s,2025-05-22
100,LOUISE,177724,87s,2025-05-22
100,LOUISE,289907,109s,2025-05-22
100,LOUISE,215385,111s,2025-05-22
100,LOUISE,701785,351s,2025-05-22
100,LOUISE,489219,78s,2025-05-22
100,LOUISE,489258,74s,2025-05-22
100,LOUISE,216605,39s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
,PLAYER,0,0s,2025-05-22
100,LOUISE,216540,45s,2025-05-22
100,LOUISE,704669,133s,2025-05-22
482670422,HAHAHA,264195,280s,2025-05-24
808573517,PLAYER,360527,497s,2025-05-24
808573517,PLAYER,859666,1033s,2025-05-24
100,LOUISE,1828,7s,2025-05-24
100,LOUISE,2792,10s,2025-05-24
100,LOUISE,2819,8s,2025-05-24
100,LOUISE,2857,4s,2025-05-24
100,LOUISE,4813,8s,2025-05-24
100,LOUISE,20414,8s,2025-05-24
100,LOUISE,613968,253s,2025-05-24
1972430587,JASON,177276,122s,2025-05-24
1972430587,JASON,1463627,917s,2025-05-24
1972430587,JASON,1061846,415s,2025-05-24
1972430587,JASON,1374663,593s,2025-05-24
